Designator,Mid X,Mid Y,Rotation,Layer
D1,7.75,60.0,0.0,top
D2,3.25,50.25,0.0,top
D3,12.75,60.0,0.0,top
D4,19.25,50.25,0.0,top
D5,17.75,60.0,0.0,top
D6,35.25,50.25,0.0,top
D7,22.75,60.0,0.0,top
D8,51.25,50.25,0.0,top
J1,61.5,57.75,180.0,top
J2,48.0,57.75,180.0,top
J3,20.5,11.25,0.0,top
J4,52.5,11.25,0.0,top
K1,10.0,40.25,270.0,top
K2,26.0,40.25,270.0,top
K3,42.0,40.25,270.0,top
K4,58.0,40.25,270.0,top
R1,30.5,64.75,270.0,top
R2,32.25,64.75,270.0,top
R3,34.0,64.75,270.0,top
R4,35.75,64.75,270.0,top
RV1,12.5,26.5,0.0,top
RV2,28.5,26.5,0.0,top
RV3,44.5,26.5,0.0,top
RV4,60.5,26.5,0.0,top
